digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
1,A,-,-,-,-,"Agriculture, forestry and fishing",,,"Pertanian, Perhutanan dan Perikanan",,
1,B,-,-,-,-,Mining and quarrying,,,Perlombongan dan Pengkuarian,,
1,C,-,-,-,-,Manufacturing,,,Pembuatan,,
1,D,-,-,-,-,"Electricity, gas, steam and air conditioning supply",,,"Bekalan elektrik, gas, wap dan pendingin udara",,
1,E,-,-,-,-,"Water supply; sewerage, waste management and remediation activities",,,"Bekalan air; pembentungan, pengurusan sisa dan aktiviti pemulihan",,
1,F,-,-,-,-,Construction,,,Pembinaan,,
1,G,-,-,-,-,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,"Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",,
1,H,-,-,-,-,Transportation and storage,,,Pengangkutan dan penyimpanan,,
1,I,-,-,-,-,Accommodation and food service activities,,,Penginapan dan aktiviti perkhidmatan makanan dan minuman,,
1,J,-,-,-,-,Information and communication,,,Maklumat dan komunikasi,,
1,K,-,-,-,-,Financial and insurance/takaful activities,,,Aktiviti kewangan dan insurans/takaful,,
1,L,-,-,-,-,Real estate activities,,,Aktiviti hartanah,,
1,M,-,-,-,-,"Professional, scientific and technical activities",,,"Aktiviti profesional, saintifik dan teknikal",,
1,N,-,-,-,-,Administrative and support service activities,,,Aktiviti pentadbiran dan khidmat sokongan,,
1,O,-,-,-,-,Public administration and defence; compulsory social security,,,Pentadbiran awam dan pertahanan; aktiviti sosial wajib,,
1,P,-,-,-,-,Education,,,Pendidikan,,
1,Q,-,-,-,-,Human health and social work activities,,,Aktiviti kesihatan kemanusiaan dan kerja sosial,,
1,R,-,-,-,-,"Arts, entertainment and recreation",,,"Kesenian, hiburan dan rekreasi",,
1,S,-,-,-,-,Other service activities,,,Aktiviti perkhidmatan lain,,
1,T,-,-,-,-,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,,,Aktiviti isi rumah sebagai majikan; Aktiviti mengeluarkan barangan-Dan perkhidmatan-Yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri,,
1,U,-,-,-,-,Activities of extraterritorial organizations and bodies,,,Aktiviti badan dan pertubuhan luar wilayah,,
2,A,01,-,-,-,"Crop and animal production, hunting and related service activities",,,"Pengeluaran tanaman dan ternakan, pemburuan dan aktiviti perkhidmatan berkaitan",,
2,A,02,-,-,-,Forestry and logging,,,Perhutanan dan pembalakan,,
2,A,03,-,-,-,Fishing and aquaculture,,,Perikanan dan akuakultur,,
2,B,05,-,-,-,Mining of coal and lignite,,,Perlombongan batu arang dan lignit,,
2,B,06,-,-,-,Extraction of crude petroleum and natural gas,,,Pengekstrakan petroleum mentah dan gas asli,,
2,B,07,-,-,-,Mining of metal ores,,,Perlombongan bijih besi,,
2,B,08,-,-,-,Other mining and quarrying,,,Perlombongan dan pengkuarian lain,,
2,B,09,-,-,-,Mining support service activities,,,Aktiviti sokongan perkhidmatan perlombongan,,
2,C,10,-,-,-,Manufacture of food products,,,Pembuatan produk makanan,,
2,C,11,-,-,-,Manufacture of beverages,,,Pembuatan minuman,,
2,C,12,-,-,-,Manufacture of tobacco products,,,Pembuatan produk tembakau,,
2,C,13,-,-,-,Manufacture of textiles,,,Pembuatan tekstil,,
2,C,14,-,-,-,Manufacture of wearing apparel,,,Pembuatan pakaian,,
2,C,15,-,-,-,Manufacture of leather and related products,,,Pembuatan produk kulit dan barangan berkaitan,,
2,C,16,-,-,-,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",,,"Pembuatan kayu dan produk kayu dan gabus, kecuali perabot; pembuatan bagi artikel jerami dan bahan-bahan anyaman",,
2,C,17,-,-,-,Manufacture of paper and paper products,,,Pembuatan kertas dan produk kertas,,
2,C,18,-,-,-,Printing and reproduction of recorded media,,,Percetakan dan penerbitan semula media rakaman,,
2,C,19,-,-,-,Manufacture of coke and refined petroleum products,,,Pembuatan kok dan produk petroleum bertapis,,
2,C,20,-,-,-,Manufacture of chemicals and chemical products,,,Pembuatan kimia dan produk kimia,,
2,C,21,-,-,-,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,"Pembuatan produk farmaseutikal asas, kimia perubatan dan botani",,
2,C,22,-,-,-,Manufacture of rubber and plastics products,,,Pembuatan produk getah dan plastik,,
2,C,23,-,-,-,Manufacture of other non-metallic mineral products,,,Pembuatan produk galian bukan logam lain,,
2,C,24,-,-,-,Manufacture of basic metals,,,Pembuatan logam asas,,
2,C,25,-,-,-,"Manufacture of fabricated metal products, except machinery and equipment",,,"Pembuatan produk logam, kecuali mesin dan kelengkapan",,
2,C,26,-,-,-,"Manufacture of computer, electronic and optical products",,,"Pembuatan komputer, produk elektronik dan optikal",,
2,C,27,-,-,-,Manufacture of electrical equipment,,,Pembuatan kelengkapan elektrik,,
2,C,28,-,-,-,Manufacture of machinery and equipment n.e.c.,,,Pembuatan jentera dan peralatan t.t.t.l.,,
2,C,29,-,-,-,"Manufacture of motor vehicles, trailers and semi-trailers",,,"Pembuatan kenderaan bermotor, treler dan semi treler",,
2,C,30,-,-,-,Manufacture of other transport equipment,,,Pembuatan kelengkapan pengangkutan lain,,
2,C,31,-,-,-,Manufacture of furniture,,,Pembuatan perabot,,
2,C,32,-,-,-,Other manufacturing,,,Pembuatan lain,,
2,C,33,-,-,-,Repair and installation of machinery and equipment,,,Pembaikan dan pemasangan jentera dan kelengkapan,,
2,D,35,-,-,-,"Electricity, gas, steam and air conditioning supply",,,"Bekalan elektrik, gas, wap dan pendingin udara",,
2,E,36,-,-,-,"Water collection, treatment and supply",,,"Penakungan, perawatan dan bekalan air",,
2,E,37,-,-,-,Sewerage,,,Pembetungan,,
2,E,38,-,-,-,"Waste collection, treatment and disposal activities; materials recovery",,,"Aktiviti pengumpulan, rawatan dan pelupusan sisa; pemulihan semula bahan",,
2,E,39,-,-,-,Remediation activities and other waste management services,,,Aktiviti pemulihan dan lain-lain perkhidmatan pengurusan sisa,,
2,F,41,-,-,-,Construction of buildings,,,Pembinaan bangunan,,
2,F,42,-,-,-,Civil engineering,,,Kejuruteraan awam,,
2,F,43,-,-,-,Specialized construction activities,,,Aktiviti pembinaan pertukangan khas,,
2,G,45,-,-,-,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,Perdagangan borong dan runcit dan pembaikan kenderaan bermotor dan motosikal,,
2,G,46,-,-,-,"Wholesale trade, except of motor vehicles and motorcycles",,,Perdagangan borong kecuali kenderaan bermotor dan motosikal,,
2,G,47,-,-,-,"Retail trade, except of motor vehicles and motorcycles",,,Perdagangan runcit kecuali kenderaan bermotor dan motosikal,,
2,H,49,-,-,-,Land transport and transport via pipelines,,,Pengangkutan darat dan pengangkutan melalui saliran paip,,
2,H,50,-,-,-,Water transport,,,Pengangkutan air,,
2,H,51,-,-,-,Air transport,,,Pengangkutan udara,,
2,H,52,-,-,-,Warehousing and support activities for transportation,,,Penggudangan dan aktiviti sokongan untuk pengangkutan,,
2,H,53,-,-,-,Postal and courier activities,,,Perkhidmatan pos dan kurier,,
2,I,55,-,-,-,Accommodation,,,Penginapan,,
2,I,56,-,-,-,Food and beverage service activities,,,Aktiviti perkhidmatan makanan dan minuman,,
2,J,58,-,-,-,Publishing activities,,,Aktivit penerbitan,,
2,J,59,-,-,-,"Motion picture, video and television programme production, sound recording and music publishing activities",,,"Aktiviti penerbitan wayang gambar, video dan program televisyen , rakaman bunyi dan penerbitan muzik",,
2,J,60,-,-,-,Programming and broadcasting activities,,,Aktiviti pemprograman dan penyiaran,,
2,J,61,-,-,-,Telecommunications,,,Telekomunikasi,,
2,J,62,-,-,-,"Computer programming, consultancy and related activities",,,"Pengaturcaraan komputer, perundingan dan aktiviti yang berkaitan",,
2,J,63,-,-,-,Information service activities,,,Aktiviti perkhidmatan maklumat,,
2,K,64,-,-,-,"Financial service activities, except insurance/takaful and pension funding",,,"Aktiviti perkhidmatan kewangan, kecuali insurans/takaful dan tabungan pencen",,
2,K,65,-,-,-,"Insurance/takaful, reinsurance/takaful and pension funding, except compulsory social security",,,"Insurans/takaful, insurans/takaful semula dan tabungan pencen, kecuali keselamatan sosial berwajib",,
2,K,66,-,-,-,Activities auxiliary to financial service and insurance/takaful activities,,,Aktiviti sokongan kepada perkhidmatan kewangan dan aktiviti insurans/takaful,,
2,L,68,-,-,-,Real estate activities,,,Aktiviti hartanah,,
2,M,69,-,-,-,Legal and accounting activities,,,Aktiviti guaman dan perakaunan,,
2,M,70,-,-,-,Activities of head offices; management consultancy activities,,,Aktiviti ibu pejabat; aktiviti perundingan pengurusan,,
2,M,71,-,-,-,Architectural and engineering activities; technical testing and analysis,,,Aktiviti arkitek dan kejuruteraan; ujian teknikal dan analisis,,
2,M,72,-,-,-,Scientific research and development,,,Penyelidikan dan pembangunan saintifik,,
2,M,73,-,-,-,Advertising and market research,,,Pengiklanan dan penyelidikan pasaran,,
2,M,74,-,-,-,"Other professional, scientific and technical activities",,,"Perkhidmatan profesional, saintifik dan teknikal lain",,
2,M,75,-,-,-,Veterinary activities,,,Aktiviti veterinar,,
2,N,77,-,-,-,Rental and leasing activities,,,Aktiviti sewaan dan pajakan,,
2,N,78,-,-,-,Employment activities,,,Aktiviti pekerjaan,,
2,N,79,-,-,-,"Travel agency, tour operator, reservation service and related activities",,,"Agensi pengembaraan, operator pelancongan, khidmat penempahan dan aktiviti berkaitan",,
2,N,80,-,-,-,Security and investigation activities,,,Aktiviti keselamatan dan penyiasatan,,
2,N,81,-,-,-,Services to buildings and landscape activities,,,Aktiviti perkhidmatan bangunan dan landskap,,
2,N,82,-,-,-,"Office administrative, office support and other business support activities",,,"Aktiviti pengurusan pejabat, sokongan pejabat dan sokongan perniagaan lain",,
2,O,84,-,-,-,Public administration and defence; compulsory social security,,,Pentadbiran awam dan pertahanan; keselamatan sosial wajib,,
2,P,85,-,-,-,Education,,,Pendidikan,,
2,Q,86,-,-,-,Human health activities,,,Aktiviti kesihatan kemanusiaan,,
2,Q,87,-,-,-,Residential care activities,,,Aktiviti rumah penjagaan,,
2,Q,88,-,-,-,Social work activities without accommodation,,,Aktiviti kerja sosial tanpa penginapan,,
2,R,90,-,-,-,"Creative, arts and entertainment activities",,,"Aktiviti kesenian, hiburan dan kreatif",,
2,R,91,-,-,-,"Libraries, archives, museums and other cultural activities",,,"Aktiviti perpustakaan, arkib, muzium dan kebudayaan lain",,
2,R,92,-,-,-,Gambling and betting activities,,,Aktiviti perjudian dan pertaruhan,,
2,R,93,-,-,-,Sports activities and amusement and recreation activities,,,Aktiviti sukan dan aktiviti hiburan dan rekreasi,,
2,S,94,-,-,-,Activities of membership organizations,,,Aktiviti keahlian organisasi,,
2,S,95,-,-,-,Repair of computers and personal and household goods,,,Pembaikan komputer dan barangan persendirian dan isi rumah,,
2,S,96,-,-,-,Other personal service activities,,,Aktiviti perkhidmatan persendirian lain,,
2,T,97,-,-,-,Activities of households as employers of domestic personnel,,,Aktiviti isi rumah sebagai majikan bagi personel domestik,,
2,T,98,-,-,-,Undifferentiated goods- and services-producing activities of private households for own use,,,Aktiviti mengeluarkan barangan- dan perkhidmatan- yang tidak dapat dibezakan oleh isi rumah persendirian untuk kegunaan sendiri,,
2,U,99,-,-,-,Activities of extraterritorial organizations and bodies,,,Aktiviti badan dan pertubuhan luar wilayah,,
3,A,01,011,-,-,Growing of non-perennial crops,,,Penanaman tanaman tidak kekal,,
3,A,01,012,-,-,Growing of perennial crops,,,Penanaman tanaman kekal,,
3,A,01,013,-,-,Plant propagation,,,Pembiakan tumbuhan,,
3,A,01,014,-,-,Animal production,,,Pengeluaran ternakan,,
3,A,01,015,-,-,Mixed farming,,,Pertanian campuran,,
3,A,01,016,-,-,Support activities to agriculture and post-harvest crop activities,,,Aktiviti sokongan pertanian dan aktiviti tanaman selepas tuaian,,
3,A,01,017,-,-,"Hunting, trapping and related service activities",,,"Pemburuan, penjeratan dan aktiviti perkhidmatan berkaitan",,
3,A,02,021,-,-,Silviculture and other forestry activities,,,Silvikultur dan aktiviti perhutanan lain,,
3,A,02,022,-,-,Logging,,,Pembalakan,,
3,A,02,023,-,-,Gathering of non-wood forest products,,,Pengumpulan produk hutan bukan kayu,,
3,A,02,024,-,-,Support services to forestry,,,Perkhidmatan sokongan perhutanan,,
3,A,03,031,-,-,Fishing,,,Perikanan,,
3,A,03,032,-,-,Aquaculture,,,Akuakultur,,
3,B,05,051,-,-,Mining of hard coal,,,Perlombongan batu arang pepejal,,
3,B,05,052,-,-,Mining of lignite,,,Perlombongan lignit,,
3,B,06,061,-,-,Extraction of crude petroleum,,,Pengekstrakan petroleum mentah,,
3,B,06,062,-,-,Extraction of natural gas,,,Pengekstrakan gas asli,,
3,B,07,071,-,-,Mining of iron ores,,,Perlombongan bijih besi,,
3,B,07,072,-,-,Mining of non-ferrous metal ores,,,Perlombongan bijih logam bukan besi (non-ferrous),,
3,B,08,081,-,-,"Quarrying of stone, sand and clay",,,"Pengkuarian batu, pasir dan tanah liat",,
3,B,08,089,-,-,Mining and quarrying n.e.c.,,,Perlombongan dan pengkuarian t.t.t.l.,,
3,B,09,091,-,-,Support activities for petroleum and natural gas extraction,,,Aktiviti sokongan pengekstrakan petroleum dan gas asli,,
3,B,09,099,-,-,Support activities for other mining and quarrying,,,Aktiviti sokongan perlombongan dan pengkuarian lain,,
3,C,10,101,-,-,Processing and preserving of meat,,,Pemprosesan dan pengawetan daging,,
3,C,10,102,-,-,"Processing and preserving of fish, crustaceans and molluscs",,,"Pemprosesan dan pengawetan ikan, krustasea dan moluska",,
